alpha,method,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size_mean
0.05,fuzzy-rarity-10,0.02763448784082535,0.07514957987436184,0.9135866272935195,0.9459885445805324,29.623423540355205
0.05,fuzzy-rarity-1000,0.028494227462539917,0.07694022290844152,0.9117246974992342,0.9484612494038929,30.974452159993078
0.05,fuzzy-RErarity-1e-15,0.00024563989191844754,0.005350740187772578,0.991309857805095,0.9462896015641078,7442.0533238150865
0.05,fuzzy-RErarity-1e-10,0.00552689756816507,0.015470048525457686,0.9804006937366239,0.949477610080929,6109.32552404439
0.05,fuzzy-RErarity-1e-05,0.014124293785310734,0.04857100736314724,0.9425399557802038,0.9498880380995511,48.60706946157008
0.05,fuzzy-RErarity-0.0001,0.013633014001473839,0.046337653777353105,0.9448669311315039,0.9496830786917134,43.667553594219825
0.05,fuzzy-RErarity-0.001,0.01400147383935151,0.04594601120940819,0.9454211771375668,0.9498796649401876,43.49691738594328
0.05,fuzzy-RErarity-0.01,0.014492753623188406,0.046785317898170024,0.9446386371555234,0.9506382010931738,45.10370562658187
0.05,fuzzy-RErarity-0.1,0.017071972488332105,0.053481068368601066,0.9374919886033745,0.950610130852451,40.95113245505873
0.05,fuzzy-RErarity-10,0.025792188651436992,0.06895683257741246,0.9208029706008386,0.9518622133237338,35.06948320245744
0.05,fuzzy-RErarity-1000,0.026774748219110783,0.07212477445072389,0.9172314169060818,0.9522440363197375,35.26579704501698
0.05,cvx-cw_weight=0,0.028494227462539917,0.07696478991495177,0.9116964613177188,0.9484803305628579,30.966556341532005
0.05,cvx-cw_weight=0.25,0.02702038811102923,0.07304622013165168,0.9158986577739441,0.946966205925977,30.794838514288188
0.05,cvx-cw_weight=0.5,0.023949889462048637,0.06646063076437052,0.9233219569523317,0.9498303591811179,34.4756311246674
0.05,cvx-cw_weight=0.75,0.01915991156963891,0.05710567131830982,0.9338321266282599,0.954393848925821,42.74400242282648
0.05,cvx-cw_weight=0.9,0.014861213461066078,0.04743826207139862,0.9448079870993275,0.9595310086098654,56.905358340363854
0.05,cvx-cw_weight=0.95,0.012159174649963155,0.040534063187084024,0.9526084699099095,0.9634540812402065,70.38153027451489
0.05,cvx-cw_weight=0.975,0.01043969540653402,0.035873922008324614,0.957951457088818,0.966168481815193,86.53105328055032
0.05,cvx-cw_weight=0.99,0.007860476541390321,0.029095544136084617,0.9656743382084333,0.9700048746817584,112.79105284790275
0.05,cvx-cw_weight=0.999,0.004421518054532056,0.017969404398897014,0.978410500189411,0.9762334245112112,209.53767278863003
0.05,cvx-cw_weight=1,0.0,0.000468236947462539,0.9984912063889163,0.9857450073179856,7830.816232937461
0.01,standard,0.004175878162613608,0.01819111792441065,0.9812977289336002,0.9906513632055374,286.9145953663444
0.01,classwise,0.0,0.0,1.0,0.9999999999999999,8142.0
0.01,classwise-exact,0.06546303119626627,0.07472692396278748,0.9241510822916909,0.9684172073823981,7212.294286888615
0.01,clustered,0.004175878162613608,0.01819111792441065,0.9812977289336002,0.9906513632055374,286.9145953663444
0.01,prevalence-adjusted,0.0034389584868582657,0.01596703933796558,0.9835067959653183,0.9902082606090321,271.3955480563307
0.01,fuzzy-rarity-1e-15,0.0,0.0,1.0,0.9999999999999999,8142.0
0.01,fuzzy-rarity-1e-10,0.0,0.0,1.0,0.9999999999999999,8142.0
0.01,fuzzy-rarity-1e-05,0.0015966592974699092,0.008217664746201265,0.9915352482561012,0.9954264695552577,1001.6356025699266
0.01,fuzzy-rarity-0.0001,0.002087939081306804,0.009547609637157523,0.9900740493667282,0.9926238800982121,552.6311679321609
0.01,fuzzy-rarity-0.001,0.002087939081306804,0.00989448928033311,0.9896547485591756,0.9910455357494137,443.4938455880762
0.01,fuzzy-rarity-0.01,0.002824858757062147,0.011762010099079397,0.9877371009313921,0.9898701780982633,365.9722240249205
0.01,fuzzy-rarity-0.1,0.003316138540899042,0.014407518146764347,0.9850513872226961,0.9893622224747108,315.4182620546434
0.01,fuzzy-rarity-10,0.004175878162613608,0.017937835507475658,0.9815448392451045,0.9903944318163906,278.36883206783915
0.01,fuzzy-rarity-1000,0.004175878162613608,0.01819111792441065,0.9812977289336002,0.9906513632055374,286.76727886300216
