dataset,alpha,method,method_key,method_params,set_size_metric_type,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,mean,0.12580943570767808,0.14362586175385392,0.8386080329758724,0.9509561695455268,6.503792748778606
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,mean,0.15263644773358,0.17820703317721676,0.8016916633125464,0.952840509623474,5.292877346361532
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,mean,0.19056429232192415,0.22248805258843857,0.7546048505017409,0.9558871372529659,4.526227822062227
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,mean,0.24606845513413506,0.2822644847647948,0.6890739953748107,0.9579456959555543,3.2872203651324248
plantnet,0.05,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,mean,0.2793709528214616,0.31652374195486643,0.6518310849359576,0.9547972757314147,2.726504242735922
plantnet,0.01,Standard,standard,score=softmax,mean,0.10823311748381129,0.13246988753192482,0.8651919107870107,0.9923981138043282,13.96197608639753
plantnet,0.01,classwise,classwise,,mean,0.0,4.866817143173852e-05,0.9997133350219711,0.9963652545861421,1027.447480071998
plantnet,0.01,classwise-exact,classwise-exact,,mean,0.0,0.0063324643201495695,0.9925386143231968,0.9915512612356303,899.6052327076369
plantnet,0.01,clustered,clustered,,mean,0.11655874190564293,0.14251425654169053,0.854843921695225,0.9897315260966489,13.10921830804834
plantnet,0.01,prevalence-adjusted,prevalence-adjusted,,mean,0.056429232192414434,0.06880593821342793,0.9294707572734655,0.9912315357408175,18.396406531241965
plantnet,0.01,rc3p,rc3p,,mean,0.15541165587419056,0.20846209233711008,0.7869321063371634,0.9738726315145054,135.64248521470816
plantnet,0.01,Interp-Q,cvx-cw_weight=0,weight=0,mean,0.10823311748381129,0.13246988753192482,0.8651919107870107,0.9923981138043282,13.96197608639753
plantnet,0.01,Interp-Q,cvx-cw_weight=0.25,weight=0.25,mean,0.1026827012025902,0.12521860982589125,0.872558156748382,0.9920402527948606,14.263146052969915
plantnet,0.01,Interp-Q,cvx-cw_weight=0.5,weight=0.5,mean,0.09435707678075855,0.11284843139973727,0.8851368316010255,0.9923049149352297,16.005624839290306
plantnet,0.01,Interp-Q,cvx-cw_weight=0.75,weight=0.75,mean,0.0851063829787234,0.10156534557420142,0.8966596118883364,0.9929801540403138,19.82257649781435
plantnet,0.01,Interp-Q,cvx-cw_weight=0.9,weight=0.9,mean,0.07493061979648474,0.08705751185570412,0.9114635747563853,0.9937126683954423,26.386088968886604
plantnet,0.01,Interp-Q,cvx-cw_weight=0.95,weight=0.95,mean,0.06753006475485661,0.07858315948751937,0.920082441910243,0.9939528833992743,32.680123425045
